Data,Ano,Mes,Dia,Mes_Nome,Mes_Nome_Completo,Ano_Mes,Ano_Mes_Label,Dia_Semana,Dia_Semana_Abrev,Dia_Semana_Num,Semana_ISO,Semana_Inicio,Semana_Label,Loja,Canal,Valor
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,CARINAS,CASA,5355.81
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,CARINAS,DELIVERY,547.7
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,CHÁCARA,CASA,3082.29
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,LAPA,CASA,1650.2
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,LAPA,DELIVERY,209.8
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,PAVÃO,CASA,273.97
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,PAVÃO,DELIVERY,258.38
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,PERDIZES,CASA,1457.31
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,PERDIZES,DELIVERY,509.6
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,SANTANA,CASA,3163.78
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,SANTANA,DELIVERY,396.4
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,SANTO ANDRÉ,CASA,448.69
2025-01-02,2025,1,2,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,1,2024-12-30,30/12 - 05/01/2025,TATUAPÉ,CASA,8917.33
